Year,Region,Technology,Hour,Fuel,value
2040,DK,Battery,83,Power,192.09297022247097
2050,UK,Battery,109,Power,813.7527969609946
2020,FR,Battery,2,Power,24.99500025
2020,UK,PHS,64,Power,-0.0
2020,NO,H2Tank,68,H2,0.26596760441999945
2020,FR,Battery,95,Power,49.925052477256834
2040,DK,H2Tank,24,H2,1.7846519745014509
2020,UK,PHS,26,Power,-0.0
2030,DE,Battery,42,Power,0.0
2050,NO,Battery,10,Power,-0.0
2050,UK,PHS,116,Power,200.80200400701128
2020,DK,PHS,34,Power,0.0
2050,DE,Battery,37,Power,291.7948592452663
2050,DK,PHS,46,Power,59.45020294025351
2030,DE,H2Tank,28,H2,12.162056878075
2030,DK,H2Tank,87,H2,0.0
2050,DK,H2Tank,118,H2,17.005410404194247
2050,DE,H2Tank,111,H2,102.44314015864036
2050,NO,H2Tank,70,H2,93.65269608154314
2020,DK,PHS,109,Power,0.0
2030,DK,Battery,99,Power,79.78817196165092
2050,NO,Battery,18,Power,-0.0
2040,DE,Battery,77,Power,120.88584423890039
2030,UK,PHS,71,Power,-0.0
2040,UK,Battery,19,Power,17.781509172161226
2020,DE,Battery,27,Power,-0.0
2040,FR,Battery,116,Power,200.08002000400066
2020,FR,H2Tank,32,H2,27.062650078458933
2040,NO,H2Tank,80,H2,31.82370751075
2050,DE,Battery,65,Power,380.2832458206786
2050,DK,H2Tank,62,H2,34.265350877192986
2030,UK,Battery,40,Power,41.56930120963026
2030,UK,H2Tank,76,H2,5.699999999999999
2050,FR,Battery,19,Power,168.5731031653594
2050,DE,Battery,4,Power,183.0212321458422
2030,FR,PHS,21,Power,-0.0
2030,DE,H2Tank,45,H2,13.157894736842104
2020,NO,PHS,16,Power,-0.0
2040,DE,Battery,39,Power,80.20107878481389
2050,DK,PHS,97,Power,102.32783150311106
2020,DE,H2Tank,76,H2,19.393893617474998
2020,DE,Battery,96,Power,-0.0
2020,DK,Battery,94,Power,12.140152346095114
