Year,Hour,From,To,Fuel,value
2050,27,FR,DE,Power,-0.0
2020,28,FR,DE,Power,-0.0
2030,28,FR,DE,Power,-0.0
2040,28,FR,DE,Power,-0.0
2050,28,FR,DE,Power,-0.0
2020,29,FR,DE,Power,-0.0
2030,29,FR,DE,Power,-0.0
2040,29,FR,DE,Power,-0.0
2050,29,FR,DE,Power,-0.0
2020,30,FR,DE,Power,-0.0
2030,30,FR,DE,Power,-0.0
2040,30,FR,DE,Power,-0.0
2050,30,FR,DE,Power,-0.0
2020,31,FR,DE,Power,-0.0
2030,31,FR,DE,Power,-0.0
2040,31,FR,DE,Power,-0.0
2050,31,FR,DE,Power,-0.0
2020,32,FR,DE,Power,-0.0
2030,32,FR,DE,Power,-0.0
2040,32,FR,DE,Power,-0.0
2050,32,FR,DE,Power,-0.0
2020,33,FR,DE,Power,-0.0
2030,33,FR,DE,Power,-0.0
2040,33,FR,DE,Power,-0.0
2050,33,FR,DE,Power,-0.0
2020,34,FR,DE,Power,-0.0
2030,34,FR,DE,Power,-0.0
2040,34,FR,DE,Power,-0.0
2050,34,FR,DE,Power,-0.0
2020,35,FR,DE,Power,-0.0
2030,35,FR,DE,Power,-0.0
2040,35,FR,DE,Power,-0.0
2050,35,FR,DE,Power,-0.0
2020,36,FR,DE,Power,-0.0
2030,36,FR,DE,Power,-0.0
2040,36,FR,DE,Power,-0.0
2050,36,FR,DE,Power,-0.0
2020,37,FR,DE,Power,-0.0
2030,37,FR,DE,Power,-0.0
2040,37,FR,DE,Power,-0.0
2050,37,FR,DE,Power,-0.0
2020,38,FR,DE,Power,-0.0
2030,38,FR,DE,Power,-0.0
2040,38,FR,DE,Power,-0.0
2050,38,FR,DE,Power,-0.0
2020,39,FR,DE,Power,-0.0
2030,39,FR,DE,Power,-0.0
2040,39,FR,DE,Power,-0.0
2050,39,FR,DE,Power,-0.0
2020,40,FR,DE,Power,-0.0
2030,40,FR,DE,Power,-0.0
2040,40,FR,DE,Power,-0.0
2050,40,FR,DE,Power,-0.0
2020,41,FR,DE,Power,-0.0
2030,41,FR,DE,Power,-0.0
2040,41,FR,DE,Power,-0.0
2050,41,FR,DE,Power,-0.0
2020,42,FR,DE,Power,-0.0
2030,42,FR,DE,Power,-0.0
2040,42,FR,DE,Power,-0.0
2050,42,FR,DE,Power,-0.0
2020,43,FR,DE,Power,-0.0
2030,43,FR,DE,Power,-0.0
2040,43,FR,DE,Power,-0.0
2050,43,FR,DE,Power,-0.0
2020,44,FR,DE,Power,-0.0
2030,44,FR,DE,Power,-0.0
2040,44,FR,DE,Power,-0.0
2050,44,FR,DE,Power,-0.0
2020,45,FR,DE,Power,-0.0
2030,45,FR,DE,Power,-0.0
2040,45,FR,DE,Power,-0.0
2050,45,FR,DE,Power,-0.0
2020,46,FR,DE,Power,-0.0
2030,46,FR,DE,Power,-0.0
2040,46,FR,DE,Power,-0.0
2050,46,FR,DE,Power,-0.0
2020,47,FR,DE,Power,-0.0
2030,47,FR,DE,Power,-0.0
2040,47,FR,DE,Power,-0.0
2050,47,FR,DE,Power,-0.0
2020,48,FR,DE,Power,-0.0
2030,48,FR,DE,Power,-0.0
2040,48,FR,DE,Power,-0.0
2050,48,FR,DE,Power,-0.0
2020,49,FR,DE,Power,-0.0
2030,49,FR,DE,Power,-0.0
2040,49,FR,DE,Power,-0.0
2050,49,FR,DE,Power,-0.0
2020,50,FR,DE,Power,-0.0
2030,50,FR,DE,Power,-0.0
2040,50,FR,DE,Power,-0.0
2050,50,FR,DE,Power,-0.0
2020,51,FR,DE,Power,-0.0
2030,51,FR,DE,Power,-0.0
2040,51,FR,DE,Power,-0.0
2050,51,FR,DE,Power,-0.0
2020,52,FR,DE,Power,-0.0
2030,52,FR,DE,Power,-0.0
2040,52,FR,DE,Power,-0.0
2050,52,FR,DE,Power,-0.0
2020,53,FR,DE,Power,-0.0
2030,53,FR,DE,Power,-0.0
2040,53,FR,DE,Power,-0.0
2050,53,FR,DE,Power,-0.0
2020,54,FR,DE,Power,-0.0
2030,54,FR,DE,Power,-0.0
2040,54,FR,DE,Power,-0.0
2050,54,FR,DE,Power,-0.0
2020,55,FR,DE,Power,-0.0
2030,55,FR,DE,Power,-0.0
2040,55,FR,DE,Power,-0.0
2050,55,FR,DE,Power,-0.0
2020,56,FR,DE,Power,-0.0
2030,56,FR,DE,Power,-0.0
2040,56,FR,DE,Power,-0.0
2050,56,FR,DE,Power,-0.0
2020,57,FR,DE,Power,-0.0
2030,57,FR,DE,Power,-0.0
2040,57,FR,DE,Power,-0.0
2050,57,FR,DE,Power,-0.0
2020,58,FR,DE,Power,-0.0
2030,58,FR,DE,Power,-0.0
2040,58,FR,DE,Power,-0.0
2050,58,FR,DE,Power,-0.0
2020,59,FR,DE,Power,-0.0
2030,59,FR,DE,Power,-0.0
2040,59,FR,DE,Power,-0.0
2050,59,FR,DE,Power,-0.0
2020,60,FR,DE,Power,-0.0
2030,60,FR,DE,Power,-0.0
2040,60,FR,DE,Power,-0.0
2050,60,FR,DE,Power,-0.0
2020,61,FR,DE,Power,-0.0
2030,61,FR,DE,Power,-0.0
2040,61,FR,DE,Power,-0.0
2050,61,FR,DE,Power,-0.0
2020,62,FR,DE,Power,-0.0
2030,62,FR,DE,Power,-0.0
2040,62,FR,DE,Power,-0.0
2050,62,FR,DE,Power,-0.0
2020,63,FR,DE,Power,-0.0
2030,63,FR,DE,Power,-0.0
2040,63,FR,DE,Power,-0.0
2050,63,FR,DE,Power,5.03424743545006
